epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.5114,0.72924,0.52597,1,0.70742,0.000540231,0.000540231,0.000540231
2,21.0976,0.72513,0.47727,1,0.7165,0.0010742,0.0010742,0.0010742
3,26.2474,0.72352,0.47403,1,0.70127,0.00158616,0.00158616,0.00158616
4,31.6113,0.71779,0.47403,1,0.72129,0.00156798,0.00156798,0.00156798
5,36.8901,0.70365,0.48052,1,0.8084,0.00153497,0.00153497,0.00153497
6,42.0776,0.70656,0.52597,1,0.72725,0.00150197,0.00150197,0.00150197
7,47.3116,0.71723,0.46104,1,0.7165,0.00146896,0.00146896,0.00146896
8,52.4864,0.6981,0.52597,1,0.69902,0.00143595,0.00143595,0.00143595
9,57.5086,0.70199,0.53571,1,0.69541,0.00140295,0.00140295,0.00140295
10,62.6589,0.70046,0.47403,1,0.73789,0.00136994,0.00136994,0.00136994
11,67.6804,0.69303,0.47403,1,0.76299,0.00133693,0.00133693,0.00133693
12,72.8407,0.694,0.47078,1,0.73193,0.00130393,0.00130393,0.00130393
13,78.0168,0.68479,0.5,1,0.72314,0.00127092,0.00127092,0.00127092
14,83.1834,0.68812,0.47727,1,0.6959,0.00123791,0.00123791,0.00123791
15,88.3659,0.68709,0.47403,1,0.71504,0.00120491,0.00120491,0.00120491
16,93.7156,0.69477,0.47078,1,0.72246,0.0011719,0.0011719,0.0011719
17,98.9264,0.6974,0.47403,1,0.76934,0.00113889,0.00113889,0.00113889
18,104.103,0.69074,0.47403,1,0.77822,0.00110589,0.00110589,0.00110589
19,109.322,0.70143,0.46104,1,0.69844,0.00107288,0.00107288,0.00107288
20,114.48,0.69075,0.47727,1,0.71973,0.00103987,0.00103987,0.00103987
21,119.711,0.68378,0.47727,1,0.73467,0.00100687,0.00100687,0.00100687
22,124.901,0.68699,0.48701,1,0.6957,0.000973861,0.000973861,0.000973861
23,130.15,0.68493,0.47403,1,0.7832,0.000940855,0.000940855,0.000940855
24,135.384,0.6881,0.48377,1,0.71055,0.000907848,0.000907848,0.000907848
25,140.567,0.68522,0.5,1,0.69717,0.000874842,0.000874842,0.000874842
26,145.841,0.68728,0.47727,1,0.80352,0.000841835,0.000841835,0.000841835
27,151.149,0.68245,0.49351,1,0.7126,0.000808828,0.000808828,0.000808828
28,156.442,0.68475,0.46753,1,0.76055,0.000775822,0.000775822,0.000775822
29,161.846,0.67948,0.50974,1,0.72314,0.000742815,0.000742815,0.000742815
30,167.253,0.6819,0.50649,1,0.72783,0.000709809,0.000709809,0.000709809
31,172.611,0.6816,0.47727,1,0.7585,0.000676802,0.000676802,0.000676802
32,177.942,0.67635,0.48052,1,0.7249,0.000643795,0.000643795,0.000643795
33,183.236,0.67626,0.53247,1,0.6999,0.000610789,0.000610789,0.000610789
34,188.457,0.67879,0.48052,1,0.71895,0.000577782,0.000577782,0.000577782
35,193.809,0.67863,0.46753,1,0.76738,0.000544776,0.000544776,0.000544776
36,199.52,0.67829,0.53571,1,0.70342,0.000511769,0.000511769,0.000511769
37,205.268,0.6772,0.49675,1,0.70596,0.000478762,0.000478762,0.000478762
38,211.345,0.6745,0.53247,1,0.70117,0.000445756,0.000445756,0.000445756
39,218.301,0.6825,0.49351,1,0.77119,0.000412749,0.000412749,0.000412749
40,224.984,0.67494,0.49026,1,0.73135,0.000379743,0.000379743,0.000379743
41,293.871,0.6812,0.47403,1,0.76133,0.000346736,0.000346736,0.000346736
42,299.289,0.67162,0.48377,1,0.7457,0.000313729,0.000313729,0.000313729
43,304.583,0.67338,0.47727,1,0.82441,0.000280723,0.000280723,0.000280723
44,309.935,0.67516,0.49351,1,0.7082,0.000247716,0.000247716,0.000247716
45,315.327,0.6685,0.55844,1,0.7001,0.00021471,0.00021471,0.00021471
46,320.712,0.67436,0.53247,1,0.70723,0.000181703,0.000181703,0.000181703
47,326.386,0.66691,0.50649,1,0.73076,0.000148696,0.000148696,0.000148696
48,331.846,0.66505,0.51299,1,0.75811,0.00011569,0.00011569,0.00011569
49,337.45,0.67529,0.51623,1,0.70898,8.26832e-05,8.26832e-05,8.26832e-05
50,343.291,0.6692,0.47727,1,0.74131,4.96766e-05,4.96766e-05,4.96766e-05
